JobTitle__lightlycleaned,RoleMultichoice_composite,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeOtherVizTasks,OtherVizTasks__,altID
Director,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,823
"Manager, Data & Analytics",Analyst,50–59 hours,More than 30 hours,11–20 hours,5 hours or less,6–10 hours,,,824
"Vice President, Research","Leadership (Manager, Director, VP, etc.)",50–59 hours,None,6–10 hours,None,6–10 hours,,,825
Data & Targeting Manager,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,5 hours or less,,826
Designer,Designer,50–59 hours,5 hours or less,None,6–10 hours,6–10 hours,None,,827
Researcher,Scientist,50–59 hours,21–30 hours,5 hours or less,5 hours or less,6–10 hours,,,828
associate director of communications,None of these describes my role,50–59 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,,829
"Senior Manager, Insights & Analytics","Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,None,,830
Scientist,Scientist,50–59 hours,5 hours or less,5 hours or less,5 hours or less,None,None,,831
Analyst,Analyst,50–59 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,5 hours or less,,832
head of frontend,None of these describes my role,50–59 hours,None,5 hours or less,5 hours or less,11–20 hours,,,833
Junior data analyst,Analyst,50–59 hours,6–10 hours,11–20 hours,11–20 hours,6–10 hours,6–10 hours,,834
Director of Membership in Info Systems,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,835
Data Analyst,Analyst,50–59 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,,836
Data Visualization Journalist,Journalist,50–59 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,,837
Head of Business Intelligence,Developer,50–59 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,838
Sr. Statistical Engineer,Engineer,50–59 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,None,,839
Data and Reporting Analyst,Analyst,50–59 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,None,,840
Performance Specialist,Analyst,50–59 hours,None,5 hours or less,5 hours or less,5 hours or less,,,841
Information Designer,Designer,50–59 hours,6–10 hours,6–10 hours,21–30 hours,11–20 hours,11–20 hours,,842
Tax Manager,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,5 hours or less,,5 hours or less,,,843
Sales Operations Manager,"Leadership (Manager, Director, VP, etc.)",50–59 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,None,,844
"Senior Analyst, Sales Analytics",Analyst,50–59 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,None,,845
Associate Dean of Institutional Effectiveness,"Leadership (Manager, Director, VP, etc.)",50–59 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,846
Principal Business Intelligence Analyst,Analyst,50–59 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,None,,847
Director,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,848
Sr. Director of Data Analytics,"Leadership (Manager, Director, VP, etc.)",50–59 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,,849
Management analyst,Analyst,50–59 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,850
Continuous Improvement Manager,None of these describes my role,50–59 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,851
"Manager, Strategy & Analytics",Analyst,50–59 hours,11–20 hours,5 hours or less,11–20 hours,11–20 hours,,,852
Chief Strategy Officer,"Leadership (Manager, Director, VP, etc.)",50–59 hours,None,None,5 hours or less,5 hours or less,None,,853
"Dir. of Planning, Institutional Effectiveness, & Research","Leadership (Manager, Director, VP, etc.)",50–59 hours,6–10 hours,5 hours or less,None,5 hours or less,,,854
Business Intelligence & Lean Process Manager,"Leadership (Manager, Director, VP, etc.)",50–59 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,None,,855
Senior Staff Software Engineer,,50–59 hours,5 hours or less,5 hours or less,None,None,None,,856
Digital Merchandise Coordinator,Student,50–59 hours,,,,21–30 hours,,,857
Research Assistant Professor,Academic/Teacher,50–59 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,None,,858
Journalist,,50–59 hours,11–20 hours,6–10 hours,6–10 hours,11–20 hours,21–30 hours,,859
Professor,Academic/Teacher,50–59 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,860
Project manager,,50–59 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,,,861
CEO,,50–59 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,862
Manager - Site,Student,50–59 hours,5 hours or less,6–10 hours,None,None,None,,863
PhD Student,Academic/Teacher,50–59 hours,11–20 hours,11–20 hours,5 hours or less,11–20 hours,11–20 hours,,864
Manager of Events and Conference Services,Student,50–59 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,,865
Clinical Associate Professor,Academic/Teacher,50–59 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,,,866
Assistant Professor in Computer Applications,Academic/Teacher,50–59 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,None,,867
Graphic Designer,,40–49 hours,5 hours or less,,5 hours or less,21–30 hours,,,868
Senior data analyst,,40–49 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,,,869
Data developer,,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,,870
Program Specialist,,40–49 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,871
"Manager, Analytics Center of Excellence","Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,6–10 hours,11–20 hours,6–10 hours,None,,872
Enterprise Architect II,Engineer,40–49 hours,11–20 hours,11–20 hours,,6–10 hours,,,873
Infographics Editor,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,5 hours or less,,874
Data Visualization Lead,Scientist,40–49 hours,21–30 hours,21–30 hours,None,6–10 hours,,,875
Consultant,None of these describes my role,40–49 hours,5 hours or less,6–10 hours,5 hours or less,21–30 hours,None,,876
BI Lead,Analyst,40–49 hours,None,5 hours or less,5 hours or less,11–20 hours,None,,877
Digital Designer,Designer,40–49 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,21–30 hours,,878
Presentation Designer,,40–49 hours,None,5 hours or less,6–10 hours,21–30 hours,6–10 hours,,879
Senior consultant,,40–49 hours,5 hours or less,6–10 hours,11–20 hours,6–10 hours,6–10 hours,,880
Consultant,,40–49 hours,5 hours or less,5 hours or less,6–10 hours,21–30 hours,6–10 hours,,881
Consultant,Analyst,40–49 hours,21–30 hours,6–10 hours,5 hours or less,None,None,,882
Data Visualization Journalist,Developer,40–49 hours,6–10 hours,5 hours or less,5 hours or less,21–30 hours,,,883
SME Manager,Developer,40–49 hours,11–20 hours,6–10 hours,None,5 hours or less,,,884
"Sr. Consultant, Economist",Analyst,40–49 hours,6–10 hours,6–10 hours,11–20 hours,6–10 hours,,,885
"Product Designer, Data Visualization",Designer,40–49 hours,5 hours or less,5 hours or less,21–30 hours,5 hours or less,6–10 hours,,886
Business Systems Analyst,Designer,40–49 hours,5 hours or less,6–10 hours,6–10 hours,11–20 hours,None,,887
Postdoctoral researcher,Scientist,40–49 hours,6–10 hours,6–10 hours,11–20 hours,5 hours or less,None,,888
Senior Project Manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,None,,889
Transport Consultant,Analyst,40–49 hours,6–10 hours,5 hours or less,5 hours or less,21–30 hours,None,,890
Data Visualization and Reporting Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,11–20 hours,21–30 hours,,,891
Information Designer,Designer,40–49 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,None,,892
"Analyst, Research and Planning",Analyst,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,893
Senior Data Scientist,Developer,40–49 hours,11–20 hours,6–10 hours,6–10 hours,5 hours or less,None,,894
Data visualisation consultant,Developer,40–49 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,,,895
Analyst,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,None,,896
Senior Data Advisor,None of these describes my role,40–49 hours,None,None,11–20 hours,11–20 hours,,,897
Freelancer (was data scientist),Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,None,,898
Associate Editor,Journalist,40–49 hours,None,5 hours or less,5 hours or less,5 hours or less,None,,899
Talent Data Reporting Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,None,,900
Creative Coordinator,Designer,40–49 hours,,,,5 hours or less,,,901
Data Visualization and Design,Designer,40–49 hours,,,,More than 30 hours,,,902
Executive Director,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,None,None,None,None,,903
Consultant,Developer,40–49 hours,6–10 hours,6–10 hours,6–10 hours,11–20 hours,,,904
Senior UX Designer,Designer,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,905
Data Analyst,Analyst,40–49 hours,21–30 hours,6–10 hours,11–20 hours,6–10 hours,11–20 hours,,906
Data Scientist for Visualization and Statistics,Scientist,40–49 hours,11–20 hours,21–30 hours,5 hours or less,5 hours or less,None,,907
BI Analyst,Analyst,40–49 hours,5 hours or less,6–10 hours,5 hours or less,11–20 hours,None,,908
BI analyst,Analyst,40–49 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,None,,909
Interactive Project Manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,910
BI Analyst/Data Engineer,Developer,40–49 hours,11–20 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,,911
"Sr manager, e-commerce and digital analytics","Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,5 hours or less,None,5 hours or less,,,912
Senior UX Designer,Designer,40–49 hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,,,913
Information Designer,Designer,40–49 hours,None,None,6–10 hours,5 hours or less,None,,914
Programmer Analyst,Analyst,40–49 hours,None,5 hours or less,None,None,None,,915
Research Associate,Journalist,40–49 hours,6–10 hours,6–10 hours,5 hours or less,None,None,,916
Data Analyst and Visualization Specialist,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,,917
System Engineer,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,918
Data Analytics Architect,None of these describes my role,40–49 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,None,,919
Developer,Developer,40–49 hours,5 hours or less,None,5 hours or less,21–30 hours,None,,920
Founder,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,,,None,,,921
Consultant,None of these describes my role,40–49 hours,None,5 hours or less,5 hours or less,6–10 hours,,,922
Industrial Engineer,,40–49 hours,11–20 hours,11–20 hours,21–30 hours,11–20 hours,,,923
Freelance,,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,924
Designer,Student,40–49 hours,6–10 hours,11–20 hours,6–10 hours,11–20 hours,11–20 hours,,925
BI Analyst,,40–49 hours,5 hours or less,11–20 hours,5 hours or less,5 hours or less,None,,926
engineer,,40–49 hours,6–10 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,,927
Designer,,40–49 hours,6–10 hours,6–10 hours,6–10 hours,11–20 hours,None,,928
Head of Design,,40–49 hours,5 hours or less,5 hours or less,6–10 hours,21–30 hours,5 hours or less,,929
journalist,Journalist,40–49 hours,6–10 hours,5 hours or less,6–10 hours,11–20 hours,6–10 hours,,930
Principal,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,None,,931
Data visualization Designer,Designer,40–49 hours,None,6–10 hours,6–10 hours,11–20 hours,None,,932
Assistant professor,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,More than 30 hours,,933
Environmental Health Science Analyst,,40–49 hours,5 hours or less,None,None,5 hours or less,None,,934
Senior consultant,None of these describes my role,40–49 hours,None,None,5 hours or less,5 hours or less,None,,935
Senior Consultant,Developer,40–49 hours,6–10 hours,None,5 hours or less,5 hours or less,None,,936
Principal Designer,,40–49 hours,None,,5 hours or less,5 hours or less,5 hours or less,,937
BI Data Analyst / Tableau Specialist,Analyst,40–49 hours,6–10 hours,11–20 hours,,11–20 hours,,,938
Managing Director,Engineer,40–49 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,,,939
President,Journalist,40–49 hours,None,None,5 hours or less,5 hours or less,None,,940
Director,Designer,40–49 hours,More than 30 hours,11–20 hours,11–20 hours,11–20 hours,5 hours or less,,941
Owner,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,942
Principal consultant,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,943
Data Visualization Designer,Designer,40–49 hours,5 hours or less,5 hours or less,None,More than 30 hours,5 hours or less,,944
Data Manager,Designer,40–49 hours,5 hours or less,5 hours or less,None,11–20 hours,5 hours or less,,945
Infographic Designer,Designer,40–49 hours,None,None,11–20 hours,11–20 hours,5 hours or less,,946
Senior Data Scientist,Analyst,40–49 hours,5 hours or less,11–20 hours,11–20 hours,5 hours or less,None,,947
Owner/Consultant,Analyst,40–49 hours,21–30 hours,5 hours or less,None,6–10 hours,None,,948
Information designer,Designer,40–49 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,None,,949
Business analyst,Analyst,40–49 hours,6–10 hours,11–20 hours,6–10 hours,11–20 hours,6–10 hours,,950
Consultant,Designer,40–49 hours,11–20 hours,11–20 hours,11–20 hours,21–30 hours,11–20 hours,,951
Principal Consultant,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,5 hours or less,,952
Principal Consultant,Engineer,40–49 hours,11–20 hours,5 hours or less,None,5 hours or less,None,,953
founder,"Leadership (Manager, Director, VP, etc.)",40–49 hours,11–20 hours,11–20 hours,6–10 hours,11–20 hours,None,,954
Business Intelligence Consultant,Developer,40–49 hours,6–10 hours,11–20 hours,6–10 hours,6–10 hours,None,,955
Infographic designer,Designer,40–49 hours,None,5 hours or less,5 hours or less,11–20 hours,None,,956
Managing partner and clinical professor,Scientist,40–49 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,,,957
Academic Editor and Researcher,Scientist,40–49 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,6–10 hours,,958
Founder & Data Scientist,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,11–20 hours,5 hours or less,11–20 hours,6–10 hours,,959
Consultant,None of these describes my role,40–49 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,None,,960
Head of Growth,Developer,40–49 hours,5 hours or less,5 hours or less,None,6–10 hours,None,,961
Principal Consultant,Developer,40–49 hours,,21–30 hours,21–30 hours,,,,962
journalist,Journalist,40–49 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,,963
Game Designer,Designer,40–49 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,None,,964
PhD Candidate in Cartography,Cartographer,40–49 hours,6–10 hours,None,5 hours or less,21–30 hours,,,965
Data Visualisation Expert,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,966
CEO,"Leadership (Manager, Director, VP, etc.)",40–49 hours,21–30 hours,11–20 hours,11–20 hours,11–20 hours,11–20 hours,,967
Analytics Engineer,,40–49 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,,968
Data analyst,,40–49 hours,5 hours or less,21–30 hours,5 hours or less,5 hours or less,5 hours or less,,969
Senior Engineer,,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,,970
Senior Research Analyst,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,,971
Tech support director,Analyst,40–49 hours,5 hours or less,6–10 hours,None,6–10 hours,None,,972
Training Coordinator,Analyst,40–49 hours,11–20 hours,6–10 hours,None,5 hours or less,None,,973
Data Analyst,Analyst,40–49 hours,6–10 hours,5 hours or less,None,5 hours or less,None,,974
Analyst,Analyst,40–49 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,975
Graphics Designer,Designer,40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,,976
Manager,Analyst,40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,None,,977
Product Developer,Developer,40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,978
GIS Specialist,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,11–20 hours,,979
Data Reporting Analyst,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,None,,980
uxe,Engineer,40–49 hours,None,5 hours or less,5 hours or less,6–10 hours,None,,981
Marketing Coordinator,Student,40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,,,982
Senior Executive Officer,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,983
Software Engineer,Developer,40–49 hours,None,None,None,6–10 hours,None,,984
Data analyst,Analyst,40–49 hours,6–10 hours,More than 30 hours,6–10 hours,5 hours or less,None,,985
Product Designer,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,5 hours or less,5 hours or less,6–10 hours,None,,986
senior scientist,Scientist,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,987
Education and Research Specialist,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,988
Technical Product Manager,Engineer,40–49 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,,,989
Information Designer,Designer,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,990
"Director, User Experience","Leadership (Manager, Director, VP, etc.)",40–49 hours,None,5 hours or less,5 hours or less,6–10 hours,None,,991
Product Manager (Disperse Dyes),"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,992
Senior manager,Developer,40–49 hours,5 hours or less,6–10 hours,5 hours or less,21–30 hours,None,,993
Research Specialist,Analyst,40–49 hours,5 hours or less,6–10 hours,None,6–10 hours,None,,994
Strategic planner,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,995
Research Public Health Analyst,Scientist,40–49 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,None,,996
Senior Data Analyst,Analyst,40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,None,,997
Senior scientist,Scientist,40–49 hours,5 hours or less,21–30 hours,None,5 hours or less,None,,998
Data viz specialist,None of these describes my role,40–49 hours,5 hours or less,21–30 hours,5 hours or less,6–10 hours,None,,999
Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,11–20 hours,,1000
Senior Solutions Architect,Developer,40–49 hours,11–20 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,,1001
Business analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,None,,1002
CTO,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,,1003
Chief Scientific Officer,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,None,None,5 hours or less,None,,1004
Senior Data Scientist,Scientist,40–49 hours,6–10 hours,21–30 hours,,6–10 hours,,,1005
Learning and Evaluation Officer,None of these describes my role,40–49 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1006
Product Designer,Designer,40–49 hours,None,None,6–10 hours,6–10 hours,5 hours or less,,1007
Customer Education,Teacher,40–49 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,None,,1008
Risk Data Analyst,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,1009
Director of Research and Evaluation,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,,,1010
assistant professor,Scientist,40–49 hours,5 hours or less,6–10 hours,None,5 hours or less,None,,1011
Marketing manager,,40–49 hours,,5 hours or less,21–30 hours,5 hours or less,,,1012
Data journalist,,40–49 hours,6–10 hours,11–20 hours,,5 hours or less,5 hours or less,,1013
Product designer,,40–49 hours,None,5 hours or less,5 hours or less,5 hours or less,,,1014
Research scientist,,40–49 hours,6–10 hours,11–20 hours,5 hours or less,11–20 hours,,,1015
Data Scientist,,40–49 hours,None,None,11–20 hours,21–30 hours,,,1016
Expert Associate,,40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,,,1017
Technical Development Manager,,40–49 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,,,1018
Analytics director,,40–49 hours,None,5 hours or less,5 hours or less,None,,,1019
Reporting and Data Analysis Advisor,Student,40–49 hours,5 hours or less,6–10 hours,None,11–20 hours,,,1020
Engagement Manager,,40–49 hours,5 hours or less,5 hours or less,6–10 hours,None,,,1021
Civil Engineer,,40–49 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,,,1022
Data Visualization Analyst,,40–49 hours,None,5 hours or less,,5 hours or less,21–30 hours,,1023
Engagement Lead,,40–49 hours,5 hours or less,5 hours or less,None,None,None,,1024
Analyst,,40–49 hours,6–10 hours,5 hours or less,11–20 hours,6–10 hours,5 hours or less,,1025
Senior Analyst,,40–49 hours,5 hours or less,6–10 hours,11–20 hours,21–30 hours,None,,1026
Communications Manager,,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1027
Researcher,,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1028
MI Analyst,,40–49 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1029
Procurement Analyst,,40–49 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,None,,1030
Analyst,,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1031
Data Analyst,,40–49 hours,5 hours or less,None,5 hours or less,5 hours or less,None,,1032
Data Visualisation Specialist,,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1033
Team lead analytics,,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1034
Machine Learning Engineer,,40–49 hours,11–20 hours,6–10 hours,6–10 hours,6–10 hours,None,,1035
Assistant Vice President,,40–49 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,None,,1036
Bioinformatics software engineer,,40–49 hours,None,None,None,21–30 hours,21–30 hours,,1037
Market Research and Analytics,,40–49 hours,More than 30 hours,11–20 hours,6–10 hours,11–20 hours,None,,1038
Data Analytics Engineer,,40–49 hours,5 hours or less,5 hours or less,None,None,None,,1039
Director of data analytics,,40–49 hours,5 hours or less,11–20 hours,6–10 hours,11–20 hours,None,,1040
Customer Insights manager,,40–49 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,1041
data analyst,,40–49 hours,11–20 hours,11–20 hours,6–10 hours,6–10 hours,11–20 hours,,1042
Design Director,,40–49 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,5 hours or less,,1043
Tableau Developer,,40–49 hours,11–20 hours,6–10 hours,None,5 hours or less,5 hours or less,,1044
Learning Experience Manager,,40–49 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,None,,1045
Sr. Software Developer,,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,21–30 hours,,1046
Data Scientist,,40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,None,,1047
Distribution Transformation,,40–49 hours,None,5 hours or less,None,None,None,,1048
CFI Data Analytics Associate Director,Student,40–49 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,None,,1049
Data Analyst,Analyst,40–49 hours,21–30 hours,6–10 hours,None,5 hours or less,None,,1050
"Team Lead, Analytics",Analyst,40–49 hours,5 hours or less,11–20 hours,None,5 hours or less,None,,1051
Consultant,Analyst,40–49 hours,5 hours or less,5 hours or less,None,6–10 hours,None,,1052
Design Engineer,Designer,40–49 hours,None,5 hours or less,5 hours or less,5 hours or less,None,,1053
data and reporting manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,5 hours or less,None,None,None,,1054
Senior Business Intelligence Engineer,Engineer,40–49 hours,6–10 hours,None,6–10 hours,21–30 hours,None,,1055
Data Scientist,Analyst,40–49 hours,None,5 hours or less,5 hours or less,21–30 hours,None,,1056
Data visualisation dev,Developer,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1057
Lead Data Coordinator,Analyst,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1058
Business Intelligence Analyst,Developer,40–49 hours,11–20 hours,5 hours or less,5 hours or less,11–20 hours,None,,1059
Data Analyst,Analyst,40–49 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1060
BPM Analyst,Developer,40–49 hours,11–20 hours,11–20 hours,5 hours or less,5 hours or less,None,,1061
Senior Software Engineer,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,None,5 hours or less,21–30 hours,None,,1062
Research Assistant,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,,,1063
Statistician,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,None,,1064
Data Scientist,Developer,40–49 hours,21–30 hours,11–20 hours,None,5 hours or less,None,,1065
Business Intelligence Analyst,Analyst,40–49 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,,,1066
"Senior Analyst, Monitoring and Evaluation",Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,,1067
SVP Business Intelligence & Analytics Manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,,1068
Global Publishing Strategy Manager,Analyst,40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,None,,1069
"Associate Director, Talent Analytics",Analyst,40–49 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,,,1070
Director of Data Science,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,,1071
Data Viz Engineer,Designer,40–49 hours,None,5 hours or less,6–10 hours,11–20 hours,5 hours or less,,1072
Evaluation and Impact Manager,Analyst,40–49 hours,None,6–10 hours,5 hours or less,5 hours or less,None,,1073
Report Developer,Developer,40–49 hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,,,1074
Senior financial data analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,None,None,None,,1075
Director of Communications and Digital Engagement,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,,1076
"Senior Director, Data Insights","Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,None,,1077
Business Intelligence Analyst,Analyst,40–49 hours,6–10 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,,1078
Lead Research Associate,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,,1079
